country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.1403345,85.3650192,NO2,2,4,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.1403345,85.3650192,CO,46,66,50
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.1209,85.3647,OZONE,7,19,7
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-02-2026 09:00:00",25.586562,85.043586,PM2.5,50,102,79
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-02-2026 09:00:00",25.586562,85.043586,PM10,101,366,145
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","08-02-2026 09:00:00",25.586562,85.043586,OZONE,NA,NA,NA
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","08-02-2026 09:00:00",25.592539,85.227158,NH3,2,5,3
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","08-02-2026 09:00:00",25.610369,85.132568,PM2.5,50,181,97
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-02-2026 09:00:00",25.619651,85.147382,SO2,8,10,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB","08-02-2026 09:00:00",25.619651,85.147382,CO,29,66,41
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","08-02-2026 09:00:00",25.599486,85.113666,PM2.5,69,127,89
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","08-02-2026 09:00:00",13.204880,79.097889,PM10,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-02-2026 09:00:00",14.465052,78.824187,PM10,75,115,92
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-02-2026 09:00:00",14.465052,78.824187,NH3,4,4,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-02-2026 09:00:00",14.465052,78.824187,CO,28,40,33
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","08-02-2026 09:00:00",14.465052,78.824187,OZONE,13,15,14
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-02-2026 09:00:00",16.9872867,81.7363176,PM2.5,65,185,121
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","08-02-2026 09:00:00",16.9872867,81.7363176,OZONE,8,35,20
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","08-02-2026 09:00:00",13.67,79.35,PM2.5,100,229,151
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","08-02-2026 09:00:00",13.67,79.35,NO2,18,48,34
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","08-02-2026 09:00:00",13.67,79.35,SO2,9,62,17
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","08-02-2026 09:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-02-2026 09:00:00",16.536107,80.594233,PM2.5,74,116,84
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","08-02-2026 09:00:00",16.536107,80.594233,NO2,17,17,17
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","08-02-2026 09:00:00",16.486692,80.699436,SO2,11,19,12
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","08-02-2026 09:00:00",16.486692,80.699436,CO,34,52,44
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","08-02-2026 09:00:00",16.554731,80.649110,OZONE,16,20,20
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-02-2026 09:00:00",17.72,83.3,PM2.5,58,322,142
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-02-2026 09:00:00",17.72,83.3,PM10,94,486,190
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-02-2026 09:00:00",17.72,83.3,NH3,2,3,3
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","08-02-2026 09:00:00",17.72,83.3,CO,4,96,40
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","08-02-2026 09:00:00",27.103358,93.679645,PM2.5,77,388,177
India,Bihar,Patna,"Samanpura, Patna - BSPCB","08-02-2026 09:00:00",25.596727,85.085624,NH3,1,8,4
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","08-02-2026 09:00:00",25.366336,87.117468,CO,48,74,59
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-02-2026 09:00:00",25.03280,85.41948,PM2.5,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-02-2026 09:00:00",25.03280,85.41948,PM10,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","08-02-2026 09:00:00",25.03280,85.41948,NH3,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","08-02-2026 09:00:00",25.892357,86.590325,OZONE,9,11,10
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","08-02-2026 09:00:00",25.859655,85.77944,PM10,50,146,83
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","08-02-2026 09:00:00",25.859655,85.77944,OZONE,NA,NA,NA
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","08-02-2026 09:00:00",26.0881305,87.93840336,PM2.5,20,40,30
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-02-2026 09:00:00",27.308328,84.531742,PM10,NA,NA,NA
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","08-02-2026 09:00:00",27.308328,84.531742,NO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-02-2026 09:00:00",25.376776,86.471523,PM2.5,72,197,98
India,Bihar,Munger,"Town Hall, Munger - BSPCB","08-02-2026 09:00:00",25.376776,86.471523,CO,18,36,29
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.11442,85.39813,SO2,7,14,11
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.11442,85.39813,CO,32,104,60
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","08-02-2026 09:00:00",26.11442,85.39813,OZONE,21,90,24
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","08-02-2026 09:00:00",27.103358,93.679645,PM10,85,406,153
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","08-02-2026 09:00:00",27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","08-02-2026 09:00:00",26.071318,91.87488,OZONE,13,25,16
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","08-02-2026 09:00:00",26.10887,91.589544,NO2,3,20,14
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","08-02-2026 09:00:00",26.187500,91.744194,OZONE,13,20,14
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","08-02-2026 09:00:00",26.181742,91.78063,SO2,23,25,24
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","08-02-2026 09:00:00",26.349082,92.68449,OZONE,8,20,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","08-02-2026 09:00:00",24.82827,92.79525,PM2.5,36,80,52
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","08-02-2026 09:00:00",26.987634,94.636574,CO,24,58,46
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-02-2026 09:00:00",26.146529,87.454184,CO,29,66,49
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","08-02-2026 09:00:00",26.146529,87.454184,OZONE,10,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","08-02-2026 09:00:00",25.5626095,84.663264,PM2.5,18,40,28
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","08-02-2026 09:00:00",25.7808257,84.7446768,PM10,49,225,104
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","08-02-2026 09:00:00",24.792403,84.992416,NH3,1,2,1
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-02-2026 09:00:00",24.762518,84.982348,PM10,59,79,68
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","08-02-2026 09:00:00",24.762518,84.982348,CO,35,56,44
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","08-02-2026 09:00:00",25.697189,85.245900,PM10,136,175,153
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","08-02-2026 09:00:00",25.560083,87.553265,SO2,18,24,21
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","08-02-2026 09:00:00",25.42742023,86.13886079,NO2,6,12,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","08-02-2026 09:00:00",25.251013,86.989001,PM10,44,96,62
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","08-02-2026 09:00:00",25.265194,87.012947,PM2.5,28,68,41
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-02-2026 09:00:00",25.204762,85.514960,PM2.5,37,213,73
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","08-02-2026 09:00:00",25.204762,85.514960,PM10,28,118,55
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","08-02-2026 09:00:00",14.675886,77.593027,SO2,12,12,12
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-02-2026 09:00:00",21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","08-02-2026 09:00:00",21.237755,81.705301,OZONE,1,4,1
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-02-2026 09:00:00",21.371751,81.664929,PM2.5,33,318,152
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","08-02-2026 09:00:00",21.371751,81.664929,NO2,34,51,43
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-02-2026 09:00:00",22.06631475,83.33820077,PM10,20,187,85
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-02-2026 09:00:00",22.06631475,83.33820077,SO2,5,11,6
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","08-02-2026 09:00:00",22.06631475,83.33820077,OZONE,6,76,18
India,Delhi,Delhi,"Alipur, Delhi - DPCC","08-02-2026 09:00:00",28.815329,77.153010,CO,7,94,10
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","08-02-2026 09:00:00",28.647622,77.3158090,PM2.5,55,348,224
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","08-02-2026 09:00:00",22.348441,82.549611,CO,15,22,18
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-02-2026 09:00:00",22.126650,83.483212,PM10,42,339,153
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","08-02-2026 09:00:00",22.126650,83.483212,NO2,11,56,33
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-02-2026 09:00:00",22.1910172,83.5197009,SO2,13,15,14
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","08-02-2026 09:00:00",22.1910172,83.5197009,OZONE,2,88,12
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-02-2026 09:00:00",21.258815,81.578979,NO2,37,47,42
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","08-02-2026 09:00:00",21.258815,81.578979,OZONE,1,4,1
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-02-2026 09:00:00",21.219665,81.630094,PM10,19,166,104
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","08-02-2026 09:00:00",21.219665,81.630094,SO2,3,10,5
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-02-2026 09:00:00",21.185571,81.343175,SO2,7,10,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","08-02-2026 09:00:00",21.185571,81.343175,CO,27,34,34
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","08-02-2026 09:00:00",21.224231,81.408350,CO,10,100,32
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-02-2026 09:00:00",22.118125,83.140608,PM2.5,21,51,36
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-02-2026 09:00:00",22.118125,83.140608,PM10,24,90,47
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","08-02-2026 09:00:00",22.118125,83.140608,NO2,10,18,14
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","08-02-2026 09:00:00",22.368195,82.746431,NH3,NA,NA,NA
